BEL;Belgium;Flemish
BGR;Bulgaria;Bulgarian
HRV;Croatia;Croatian
CZE;Czechia;Czech
DNK;Denmark;Danish
EST;Estonia;Estonian
FIN;Finland;Finnish, Lappish
FRA;France;French, Corsican
DEU;Germany;German, Sorbian, Dutch
GRC;Greece;Greek
HUN;Hungary;Hungarian
IRL;Ireland;Irish
ITA;Italy;Italian, Sardinian
LVA;Latvia;Latvian, Livonian
LTU;Lithuania;Lithuanian
MLT;Malta;Maltese
POL;Poland;Polish
PRT;Portugal;Portuguese
ROU;Romania;Rumanian
SVK;Slovakia;Slovakian
SVN;Slovenia;Slovene
ESP;Spain;Spanish, Catalan, Basque
SWE;Sweden;Swedish
RUS;Russia;Russian, Karelian, Mordvinian,  Dagestan, Ossetian, Wepsian, Wotian, Mari, Votyak, Udmurt, Chuvash, Tatar, Chechen-Ingush
GBR;United Kingdom;Scottish,  English
BLR;Belarus;Byelorussian
SRB;Serbia;Syrianian, Serbian
MDA;Moldova;Moldovan
BIH;Bosnia and Herzegovina;Bosnian
ALB;Albania;Albanian
ISL;Iceland;Icelandic
GEO;Georgia;Georgian
TUR;Turkey;Turkish
UKR;Ukraine;Ukrainian
NOR;Norway;Norwegian
MKD;Macedonia;Macedonian
NLD;Netherlands;Frisian
CHE;Switzerland;Swiss
