8;"False Beauty Treatment (""Painting"" on Haycock)";Finnish, Swedish, Estonian, Latvian, Lappish, French, Spanish, Frisian, German, Russian, Ukrainian, Dagestan, Mari, Chuvash, Georgian
8*;The Fox Trades the Buried Bones of the Bear for Reindeer;Finnish, Estonian, Lappish
9;The Unjust Partner;Finnish, Swedish, Estonian, Lappish, Karelian, Norwegian, Irish, French, Spanish, Basque, Catalan, Portuguese, Frisian, German, Italian, Sardinian, Corsican, Maltese, Czech, Slovakian, Serbian, Bulgarian, Greek, Polish, Turkish, Ossetian
9*;Fox and wolf: engaged in theft;Ukrainian
10***;The fall over the Edge;Norwegian, Serbian, Rumanian
15;The Theft of Food by Playing Godfather;Finnish, Swedish, Estonian, Livonian, Latvian, Lappish, Norwegian, Icelandic, French, Catalan, Spanish, Portuguese, Dutch, Frisian, Flemish, German, Italian, Hungarian, Slovene, Macedonian, Rumanian, Bulgarian, Greek, Russian, Byelorussian, Ukrainian, Turkish, Ossetian, Mari, Chuvash, Mordvinian, Votyak, Georgian
20A;Animals Caught in a Pit Eat One Another Up;Finnish, Estonian, Latvian, Lithuanian, Irish, German, Hungarian, Slovene, Serbian, Croatian, Rumanian, Bulgarian, Greek, Russian, Byelorussian, Ukrainian, Turkish
20C;The Animals Flee in Fear of the End of the World;Finnish, Estonian, Latvian, Lithuanian, Wepsian, Norwegian, Danish, Scottish, Irish, English, Spanish, Catalan, Portuguese, Frisian, Flemish, German, Italian, Slovene, Hungarian, Slovene, Bosnian, Bulgarian, Greek, Russian, Turkish, Ossetian, Mordvinian 
20D*;Pilgrimage of the Animals (Journey to Rome to Become Pope);Danish, Spanish, Basque, Catalan, Portuguese, Frisian, German, Italian, Slovene, Serbian, Macedonian, Bulgarian, Greek, Polish, Russian, Byelorussian, Ukrainian, Turkish, Georgian
21;Eating His Own Entrails;Finnish, Estonian, Latvian, Lithuanian, Wepsian, Norwegian, Spanish, Frisian, German, Hungarian,  Bulgarian, Greek, Russian, Byelorussian, Ukrainian, Mari, Votyak
