категория;номер;domanda;вопрос;risposta1;ответ1;risposta2;ответ2;risposta3;ответ3;risposta4;ответ4;правильный ответ;
Tradizioni di Natale;1;In Italia il Natale è una festa da passare in famiglia. Si dice, infatti, «Natale con i tuoi…..». Come continua questo famoso proverbio?;В Италии Рождество — это праздник, который проводят в семье. Говорят: «Рождество с твоими…». Как продолжается эта известная пословица?;Capodanno dove vuoi;Новый год где хочешь;Pasqua con chi vuoi;Пасху с кем хочешь;gli altri giorni come vuoi;остальные дни как хочешь;;;2;
Tradizioni di Natale;2;Nominate almeno 3 dolci natalizi  ;Назовите три итальянских рождественских десерта;Panettone / Pandoro /  Torrone / amaretti / struffoli e ecc.;;;;;;;;;
Tradizioni di Natale;3;Come si chiamavano i tre Magi che portarono i doni al bambino Gesù?;Как звали трёх волхвов, принёсших дары младенцу Иисусу?;;Gaspare (o Caspar), Melchiorre (o Melchior) e Baldassarre / Мельхио́р, Каспа́р (Гаспа́р, Ка́спер), Валтаса́р (Бальтаза́р);;;;;;;;
Tradizioni di Natale;4;Quale arbusto sempreverde con bacche rosse gli antichi romani consideravano una pianta sacra del dio Saturno, con cui decoravano le loro case durante i Saturnali di dicembre, e che in seguito i cristiani adottarono come simbolo natalizio?;Какой вечнозелёный куст с красными ягодами древние римляне считали священным растением бога Сатурна, украшали им свои дома во время декабрьских Сатурналий, а позже христиане переняли его как рождественский символ?;Можжевельник (Ginepro);;Остролист, падуб (Agrifoglio);;Самшит (Bosso);;;;2;
Tradizioni di Natale;5;La notte di Natale del 1223 a Greccio, un piccolo paese tra l’Umbria e il Lazio, si fece il primo presepe. Chi fu il santo inventore?;В ночь на Рождество 1223 года в Греччо, небольшом городке между Умбрией и Лацио, была создана первая рождественская вертепная сцена. Кто был святым создателем (изобретателем)?;Sant’Antonio;;Santo Stefano;;San Francesco;;;;3;
Tradizioni di Natale;6;Nelle settimane prenatalizie nelle città italiane si possono sentire, non campanellini, ma suoni grezzi e prolungati di cornamusa. Li producono musicisti in pelli di pecora, che scendono dalle montagne – eredi di un'antica tradizione pastorale. Come si chiamano?;В предрождественские недели в городах Италии можно услышать не колокольчики, а грубоватые, протяжные звуки волынки. Их издают музыканты в овечьих шкурах, спускающиеся с гор — наследники древней пастушеской традиции. Как они называются?;Пифферари (Pifferari);;Дзампоньяри (Zampognari);;Мадоннари (Madonnari);; ;;2;
Tradizioni di Natale;7;In Italia a portare i regali ai bambini non è solo Babbo Natale. Il 6 gennaio, nella festa dell'Epifania, i doni (spesso dolci o carbone per i monelli) li porta un'altra figura, molto più pittoresca.;В Италии детей поздравляет не только Баббо Натале (Дед Мороз). 6 января, в праздник Богоявления, подарки (часто сладости или уголь для непослушных) приносит другая, куда более колоритная фигура.  ;Befana;;;;;;;;3;
Tradizioni di Natale;8;Fino a quale data, per tradizione, si possono lasciare le decorazioni natalizie e il presepe nelle case italiane, senza attirare sfortuna?;До какого числа по традиции можно оставлять рождественские украшения и вертеп (presepe) в итальянских домах, не навлекая неудачу?;Fino al 31 dicembre.;До 31 декабря.;Fino al 1° gennaio.;До 1 января.;Fino al 6 gennaio (Epifania).;До 6 января (Богоявления, Epifania).;Fino al 2 febbraio (Candelora).;До 2 февраля (Сретения, Candelora).;3;
Tradizioni di Natale;9;Quale canzone natalizia napoletana del XVIII secolo è l'inno natalizio italiano più famoso al mondo? Fu scritta dal vescovo e santo napoletano Alfonso Maria de' Liguori nel 1754. Ogni italiano ne conosce la melodia fin dall'infanzia.;Какая неаполитанская рождественская песня XVIII века является самым известным в мире итальянским рождественским гимном. ё написал неаполитанский епископ и святой Альфонсо Мария де Лигуори в 1754 году. Её мелодию знает каждый итальянец с детства. ;«Astro del Ciel»;;«Tu scendi dalle stelle»;;«Ninna Nanna di Gesù Bambino»;;«Dormi, dormi, o Bambin»;;2;
Tradizioni di Natale;10;Che piatto tipico per Capodanno vedete nell'immagine?;Какое типичное новогоднее блюдо вы видите на изображении?;Fagioli e cotechino;Фасоль и котекино;Lenticchie e salsiccia;Чечевица и сальчича;Lenticchie e cotechino;Чечевица и котекино;;;3;https://www.fattoincasadabenedetta.it/ricetta/lenticchie-e-cotechino/
